gene_id	gene_name	pval
LOC111105281	LOC111105281	4.110234930296735e-06
LOC111112251	LOC111112251	4.120479216967009e-06
LOC111136748	LOC111136748	4.146099018332101e-06
LOC111118373	LOC111118373	4.301671010935981e-06
LOC111136540	LOC111136540	4.3373903808811044e-06
LOC111131034	LOC111131034	4.554266016720589e-06
LOC111106778	LOC111106778	4.605671058475877e-06
LOC111113833	LOC111113833	4.606385372082966e-06
LOC111103896	LOC111103896	4.61211902835716e-06
LOC111116677	LOC111116677	4.7976909047141376e-06
LOC111129327	LOC111129327	4.81246513326276e-06
LOC111117189	LOC111117189	4.824597075900535e-06
LOC111111255	LOC111111255	4.829660792828806e-06
LOC111133336	LOC111133336	4.884978505508464e-06
LOC111120175	LOC111120175	4.961316962627162e-06
LOC111102778	LOC111102778	4.962911226043932e-06
LOC111128629	LOC111128629	4.9819084032329415e-06
LOC111129895	LOC111129895	4.983502407936306e-06
LOC111125151	LOC111125151	4.985984077748761e-06
LOC111100644	LOC111100644	5.01765931857848e-06
LOC111104732	LOC111104732	5.028166823113744e-06
LOC111126104	LOC111126104	5.058841520418107e-06
LOC111136229	LOC111136229	5.09412273996709e-06
LOC111106208	LOC111106208	5.166583216826498e-06
LOC111114820	LOC111114820	5.223481085175196e-06
LOC111106307	LOC111106307	5.3296376005377226e-06
LOC111134709	LOC111134709	5.386620080252525e-06
LOC111136715	LOC111136715	5.430978057219678e-06
LOC111115984	LOC111115984	5.587905203102351e-06
LOC111126340	LOC111126340	5.608859176026412e-06
LOC111126467	LOC111126467	5.7686316578963464e-06
LOC111120107	LOC111120107	5.794697915354438e-06
LOC111136994	LOC111136994	5.845511734040682e-06
LOC111124681	LOC111124681	5.971950422279895e-06
LOC111111610	LOC111111610	6.064549456321878e-06
LOC111133722	LOC111133722	6.132280676657767e-06
LOC111136368	LOC111136368	6.191708453182211e-06
LOC111124258	LOC111124258	6.31869796046086e-06
LOC111137681	LOC111137681	6.351819172063783e-06
LOC111128289	LOC111128289	6.352663934330193e-06
LOC111120484	LOC111120484	6.534781625470314e-06
LOC111131423	LOC111131423	6.606463621834068e-06
LOC111129881	LOC111129881	6.672063271765153e-06
LOC111117311	LOC111117311	6.741728559437463e-06
LOC111106940	LOC111106940	6.7740913466830235e-06
LOC111134219	LOC111134219	6.907015533827915e-06
LOC111111952	LOC111111952	7.0929684327017206e-06
LOC111101124	LOC111101124	7.160615803725277e-06
LOC111112267	LOC111112267	7.174889175805387e-06
